,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
76,WHU,RM,1,26.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.5
70,TOT,AM,1,17.0,0.32,3.16,0.58,1.58,0.63,0.21,0.0,0.47,0.32,0.26,0.0,0.0,0.0,0.0,0.0,0.47,0.84,1.42,0.05,0.0,0.0,0.0,0.42,1.0,39.26
48,MCI,AM,1,14.79,0.46,2.15,0.62,1.46,0.46,0.31,0.0,0.38,0.15,0.15,0.0,0.0,0.15,0.0,0.0,0.23,0.77,2.0,0.0,0.0,0.0,0.0,0.46,1.0,39.25
73,WHU,CM,2,13.38,0.5,1.0,0.0,1.5,1.0,0.5,0.0,0.0,3.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,3.5,0.0,0.0,0.0,0.0,0.0,1.0,17.62
50,MCI,DM,5,12.93,0.31,1.16,0.38,1.0,1.5,0.25,0.0,0.16,0.34,0.84,0.06,0.0,0.03,0.0,0.06,0.44,0.66,2.06,0.25,0.0,0.0,0.0,0.44,1.0,14.89
51,MCI,LM,2,12.81,0.0,4.5,0.75,0.75,1.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.44
75,WHU,LM,1,12.25,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.25
31,CRY,RM,3,11.94,0.25,1.75,0.25,0.75,0.75,0.0,0.0,0.5,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.5,0.25,1.0,0.25,0.0,0.0,0.0,0.5,1.0,23.69
3,AVL,AM,2,11.64,0.29,1.71,0.57,1.14,0.29,0.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.29,0.71,0.43,0.29,0.0,0.0,0.0,0.43,1.0,21.07
26,CHE,RM,1,11.12,0.0,1.0,0.5,0.0,2.5,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,27.38
43,LIV,RM,1,11.05,0.13,2.8,0.4,0.33,0.93,0.13,0.0,0.27,0.73,0.8,0.0,0.0,0.27,0.0,0.0,0.33,0.27,1.6,0.27,0.0,0.0,0.0,0.6,1.0,23.8
35,EVE,RM,2,10.98,0.18,1.73,0.45,0.45,1.55,0.18,0.0,0.36,0.36,0.36,0.18,0.0,0.0,0.0,0.0,0.27,0.64,1.45,0.18,0.0,0.0,0.0,0.55,1.0,12.84
72,WHU,AM,5,10.96,0.35,1.76,0.12,0.71,1.53,0.18,0.0,0.47,1.06,0.82,0.35,0.0,0.0,0.0,0.0,0.24,0.47,1.71,0.18,0.12,0.0,0.0,0.53,1.0,30.29
2,ARS,RM,2,10.55,0.32,1.63,0.21,1.05,0.53,0.11,0.0,0.42,0.42,0.11,0.0,0.0,0.11,0.0,0.0,0.47,0.42,0.84,0.11,0.21,0.0,0.0,0.58,1.0,27.54
53,MUN,AM,3,10.41,0.12,3.0,0.25,0.75,1.0,0.38,0.0,0.38,0.25,1.25,0.12,0.0,0.0,0.0,0.0,0.12,0.38,2.38,0.38,0.12,0.0,0.0,0.5,1.0,27.44
61,NOT,AM,2,9.69,0.0,1.5,0.5,0.25,0.75,0.25,0.0,0.25,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.25,1.0,29.75
27,CRY,AM,4,9.55,0.18,2.55,0.0,0.55,0.55,0.0,0.0,0.73,0.45,0.18,0.18,0.0,0.0,0.0,0.0,0.36,0.18,1.09,0.0,0.0,0.0,0.0,0.45,1.0,16.95
16,BRF,RM,3,9.42,0.33,1.17,0.17,0.5,1.33,0.33,0.0,0.17,0.67,0.83,0.17,0.0,0.0,0.0,0.0,0.5,0.5,1.83,0.0,0.0,0.0,0.0,0.67,1.0,25.54
17,BUR,AM,2,9.42,0.33,1.33,0.0,1.0,0.67,0.0,0.0,0.0,1.33,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.33,1.67,0.0,0.0,0.0,0.0,0.0,2.0,20.75
80,WOL,LM,3,9.34,0.0,1.45,0.36,0.36,0.82,0.09,0.18,0.91,1.82,0.64,0.18,0.0,0.0,0.0,0.55,0.0,0.36,1.91,0.64,0.0,0.0,0.0,0.45,1.0,14.18
